decimals,viete,madhava
15,0.0017209053039550781,0.0016033649444580078
15,0.0017268657684326172,0.001604318618774414
20,0.0022237300872802734,0.002309560775756836
20,0.0022177696228027344,0.0022802352905273438
20,0.0021958351135253906,0.002277374267578125
20,0.0021877288818359375,0.002282857894897461
20,0.002198457717895508,0.0022847652435302734
20,0.0022077560424804688,0.0023119449615478516
20,0.002190113067626953,0.002278566360473633
20,0.0021936893463134766,0.002279996871948242
20,0.0021963119506835938,0.002310514450073242
20,0.0021820068359375,0.0023055076599121094
20,0.0022139549255371094,0.0022869110107421875
20,0.0022249221801757812,0.0022993087768554688
20,0.0021958351135253906,0.0023102760314941406
20,0.0022258758544921875,0.002281665802001953
20,0.0022118091583251953,0.0023093223571777344
20,0.002179384231567383,0.0023026466369628906
20,0.002232789993286133,0.0022974014282226562
20,0.002204418182373047,0.002279996871948242
20,0.002191305160522461,0.002275705337524414
20,0.0021996498107910156,0.0022819042205810547
20,0.0022089481353759766,0.0022907257080078125
20,0.002242565155029297,0.0022940635681152344
20,0.0022194385528564453,0.0022852420806884766
20,0.0022077560424804688,0.002281665802001953
20,0.0022172927856445312,0.0022699832916259766
20,0.002215862274169922,0.0023055076599121094
20,0.002183198928833008,0.0023124217987060547
20,0.002218484878540039,0.0023326873779296875
20,0.002205371856689453,0.0022804737091064453
20,0.0021932125091552734,0.0022802352905273438
20,0.002202749252319336,0.002279996871948242
20,0.0021991729736328125,0.0022780895233154297
20,0.0021893978118896484,0.0022809505462646484
20,0.002204418182373047,0.0022804737091064453
20,0.002198457717895508,0.0022792816162109375
20,0.002202749252319336,0.002297639846801758
20,0.0022051334381103516,0.0023026466369628906
20,0.0022225379943847656,0.002282857894897461
20,0.0021948814392089844,0.0022983551025390625
20,0.002226114273071289,0.0022666454315185547
20,0.0024297237396240234,0.0023033618927001953
20,0.0022039413452148438,0.0022873878479003906
20,0.0022025108337402344,0.002276897430419922
20,0.0021927356719970703,0.002289295196533203
20,0.0022602081298828125,0.002297639846801758
20,0.0022165775299072266,0.0023267269134521484
20,0.002215147018432617,0.002315998077392578
20,0.002218484878540039,0.0023276805877685547
20,0.0022470951080322266,0.002301454544067383
20,0.0022122859954833984,0.0023436546325683594
20,0.0022211074829101562,0.0023064613342285156
20,0.002218484878540039,0.0023338794708251953
20,0.0022025108337402344,0.002274751663208008
20,0.0021936893463134766,0.0022780895233154297
20,0.0021975040435791016,0.002296924591064453
20,0.0022182464599609375,0.0025925636291503906
20,0.00393223762512207,0.002573251724243164
20,0.00238800048828125,0.0024805068969726562
20,0.0023908615112304688,0.0024499893188476562
20,0.003674030303955078,0.0046613216400146484
20,0.004408836364746094,0.004647493362426758
20,0.0037255287170410156,0.002562284469604492
20,0.005004167556762695,0.004889965057373047
20,0.0029659271240234375,0.0039141178131103516
20,0.0046231746673583984,0.004715919494628906
20,0.004701137542724609,0.004718303680419922
20,0.004667043685913086,0.004879951477050781
20,0.00473475456237793,0.004730939865112305
20,0.004739046096801758,0.004746913909912109
20,0.004706144332885742,0.004730224609375
20,0.0046808719635009766,0.004697322845458984
20,0.004685401916503906,0.004679203033447266
20,0.00473785400390625,0.004671335220336914
20,0.004660844802856445,0.004716634750366211
20,0.004667043685913086,0.0046825408935546875
20,0.00464177131652832,0.0046617984771728516
20,0.004639148712158203,0.004631519317626953
20,0.0046656131744384766,0.004630088806152344
20,0.004587650299072266,0.004702568054199219
20,0.00467991828918457,0.00474238395690918
20,0.0047342777252197266,0.004633188247680664
20,0.0045964717864990234,0.004662752151489258
20,0.004598140716552734,0.004608869552612305
20,0.00457763671875,0.004449367523193359
20,0.004309177398681641,0.004269123077392578
20,0.0047283172607421875,0.004738569259643555
20,0.00441431999206543,0.004714250564575195
20,0.004339694976806641,0.004929304122924805
20,0.004714488983154297,0.004746198654174805
20,0.004095792770385742,0.0025429725646972656
20,0.0023059844970703125,0.0023963451385498047
20,0.002645254135131836,0.0026710033416748047
20,0.0022339820861816406,0.0023615360260009766
20,0.0027282238006591797,0.002359151840209961
20,0.0022077560424804688,0.0030274391174316406
20,0.002285003662109375,0.004236459732055664
20,0.002658367156982422,0.002373218536376953
20,0.0022292137145996094,0.0030760765075683594
20,0.002299070358276367,0.0023224353790283203
20,0.0026259422302246094,0.0023565292358398438
25,0.002738475799560547,0.003804445266723633
25,0.0027496814727783203,0.003052234649658203
25,0.002898693084716797,0.0028421878814697266
25,0.0031757354736328125,0.0034112930297851562
25,0.0028793811798095703,0.0032262802124023438
25,0.0027031898498535156,0.0031583309173583984
25,0.002993345260620117,0.00286865234375
25,0.0030977725982666016,0.0028536319732666016
25,0.0026624202728271484,0.003242969512939453
25,0.002857685089111328,0.003138303756713867
25,0.0027680397033691406,0.0028409957885742188
25,0.0030050277709960938,0.0030732154846191406
25,0.0027561187744140625,0.003261566162109375
25,0.0028793811798095703,0.0033957958221435547
25,0.0027332305908203125,0.0033011436462402344
25,0.0031816959381103516,0.002847909927368164
